"forcename","offencedescription","totalattemptedburglaries","solvedattemptedburglaries","enforcementeffectivenesspercentage"
"Avon and Somerset","Attempted burglary in a building other than a dwelling","865","0","0"
"Bedfordshire","Attempted burglary in a building other than a dwelling","235","0","0"
"British Transport Police","Attempted burglary in a building other than a dwelling","57","0","0"
"Cambridgeshire","Attempted burglary in a building other than a dwelling","324","0","0"
"Cheshire","Attempted burglary in a building other than a dwelling","492","0","0"
"Cleveland","Attempted burglary in a building other than a dwelling","374","0","0"
"Cumbria","Attempted burglary in a building other than a dwelling","209","0","0"
"Derbyshire","Attempted burglary in a building other than a dwelling","456","0","0"
"Devon and Cornwall","Attempted burglary in a building other than a dwelling","572","0","0"
"Dorset","Attempted burglary in a building other than a dwelling","349","0","0"
"Durham","Attempted burglary in a building other than a dwelling","393","0","0"
"Dyfed-Powys","Attempted burglary in a building other than a dwelling","107","0","0"
"Essex","Attempted burglary in a building other than a dwelling","788","0","0"
"Gloucestershire","Attempted burglary in a building other than a dwelling","327","0","0"
"Greater Manchester","Attempted burglary in a building other than a dwelling","1646","0","0"
"Gwent","Attempted burglary in a building other than a dwelling","430","0","0"
"Hampshire","Attempted burglary in a building other than a dwelling","1130","0","0"
"Hertfordshire","Attempted burglary in a building other than a dwelling","480","0","0"
"Humberside","Attempted burglary in a building other than a dwelling","880","0","0"
"Kent","Attempted burglary in a building other than a dwelling","1074","0","0"
"Lancashire","Attempted burglary in a building other than a dwelling","895","0","0"
"Leicestershire","Attempted burglary in a building other than a dwelling","372","0","0"
"Lincolnshire","Attempted burglary in a building other than a dwelling","430","0","0"
"London, City of","Attempted burglary in a building other than a dwelling","26","0","0"
"Merseyside","Attempted burglary in a building other than a dwelling","614","0","0"
"Metropolitan Police","Attempted burglary in a building other than a dwelling","3854","0","0"
"Norfolk","Attempted burglary in a building other than a dwelling","353","0","0"
"North Wales","Attempted burglary in a building other than a dwelling","308","0","0"
"North Yorkshire","Attempted burglary in a building other than a dwelling","296","0","0"
"Northamptonshire","Attempted burglary in a building other than a dwelling","508","0","0"
"Northumbria","Attempted burglary in a building other than a dwelling","551","0","0"
"Nottinghamshire","Attempted burglary in a building other than a dwelling","502","0","0"
"South Wales","Attempted burglary in a building other than a dwelling","803","0","0"
"South Yorkshire","Attempted burglary in a building other than a dwelling","1186","0","0"
"Staffordshire","Attempted burglary in a building other than a dwelling","519","0","0"
"Suffolk","Attempted burglary in a building other than a dwelling","416","0","0"
"Surrey","Attempted burglary in a building other than a dwelling","284","0","0"
"Sussex","Attempted burglary in a building other than a dwelling","740","0","0"
"Thames Valley","Attempted burglary in a building other than a dwelling","1383","0","0"
"Warwickshire","Attempted burglary in a building other than a dwelling","275","0","0"
"West Mercia","Attempted burglary in a building other than a dwelling","614","0","0"
"West Midlands","Attempted burglary in a building other than a dwelling","1280","0","0"
"West Yorkshire","Attempted burglary in a building other than a dwelling","2156","0","0"
"Wiltshire","Attempted burglary in a building other than a dwelling","406","0","0"
